Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page,Title_norm,Brand_norm,NegFlags,HasNegFlag,BlockKey,EmbedText,ProductId,VariantText,VariantId_local,VariantId,CoreFracUsed,VariantThresholdUsed,VariantPriceWeightUsed,ProductClusterSize,ProductCanonicalName,VariantClusterSize,_PriceNum,DealScore,DealNotes
Final Fantasy VII Remake - Deluxe Edition (PS4),79.45,No brand,0,https://www.vinted.it/items/8116657812-final-fantasy-vii-remake-deluxe-edition-ps4?referrer=catalog,0,8116657812,On Sale,,,https://images1.vinted.net/t/04_005fd_ty1qDWEuS6urWxmhEh2g9sbP/310x430/1770419074.webp?s=14502042d3bfc18e7ede0d529d759717a99b8ba2,1,3,final fantasy vii remake deluxe edition ps4,no brand,,False,no brand__toks__final-fantasy,final fantasy vii remake deluxe edition ps4 | no brand | 0,193,vii remake deluxe ps4,0,217,0.78,0.36,0.25,7,final fantasy edition ps4 remake deluxe vii precintado ix ps1,4,79.45,5.395925045013428,
PlayStation 4,84.7,PlayStation,0,https://www.vinted.it/items/8098846712-playstation-4?referrer=catalog,1,8098846712,On Sale,,,https://images1.vinted.net/t/04_01e93_ad2wsk5HU4ZPxLLpmShiKQ19/310x430/1770214853.webp?s=bd73baa3871841b6b8ed56f163a76d45f6901ee4,1,8,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,1,554,0.6,0.3,0.55,15,playstation,6,84.7,0.22483022511005402,
PlayStation 4,84.7,PlayStation,0,https://www.vinted.it/items/8098846712-playstation-4?referrer=catalog,1,8098846712,On Sale,,,https://images1.vinted.net/t/04_01e93_ad2wsk5HU4ZPxLLpmShiKQ19/310x430/1770214853.webp?s=bd73baa3871841b6b8ed56f163a76d45f6901ee4,1,7,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,1,554,0.6,0.3,0.55,15,playstation,6,84.7,0.22483022511005402,
Logitech Volant G29 + Levier de vitesse Driving Force Shifter - Compatible PS5 - PS4 et PC,210.7,Logitech,0,https://www.vinted.it/items/8097988067-logitech-volant-g29-levier-de-vitesse-driving-force-shifter-compatible-ps5-ps4-et-pc?referrer=catalog,8,8097988067,On Sale,,,https://images1.vinted.net/t/05_00fe4_X3uBis9uV6LZjcAUQTqBu4gb/310x430/1770209173.webp?s=4289432e7a73ca6e7d9b2ed0a977939eb929144e,1,7,logitech volant g29 levier de vitesse driving force shifter compatible ps5 ps4 et pc,logitech,,False,logitech__codes__g29,logitech volant g29 levier de vitesse driving force shifter compatible ps5 ps4 et pc | logitech | 0,48,volant levier de vitesse driving force shifter compatible et,0,50,0.78,0.36,0.25,9,logitech g29 ps4 ps5 pc driving force volant levier de,7,210.7,0.0,
Logitech Volant G29 + Levier de vitesse Driving Force Shifter - Compatible PS5 - PS4 et PC,210.7,Logitech,0,https://www.vinted.it/items/8098008105-logitech-volant-g29-levier-de-vitesse-driving-force-shifter-compatible-ps5-ps4-et-pc?referrer=catalog,21,8098008105,On Sale,,,https://images1.vinted.net/t/01_016df_hrYyd67zeTWjGrK4G1wvRoDb/310x430/1770209311.webp?s=70f09fb8f4442b7fbdcb13f60f18da92d86622ce,1,7,logitech volant g29 levier de vitesse driving force shifter compatible ps5 ps4 et pc,logitech,,False,logitech__codes__g29,logitech volant g29 levier de vitesse driving force shifter compatible ps5 ps4 et pc | logitech | 0,48,volant levier de vitesse driving force shifter compatible et,0,50,0.78,0.36,0.25,9,logitech g29 ps4 ps5 pc driving force volant levier de,7,210.7,0.0,
Logitech G29 Driving Force Volante para PS5/PS4/PS3/PC,210.7,Logitech,0,https://www.vinted.it/items/8099229806-logitech-g29-driving-force-volante-para-ps5ps4ps3pc?referrer=catalog,0,8099229806,On Sale,,,https://images1.vinted.net/t/06_002fd_yF4Ef3Pbf7NHHCat8m5NAsF2/310x430/1770217288.webp?s=c96d06c13ff9eb8e09da88870bffebad5fe67408,1,7,logitech g29 driving force volante para ps5 ps4 ps3 pc,logitech,,False,logitech__codes__g29,logitech g29 driving force volante para ps5 ps4 ps3 pc | logitech | 0,48,driving force volante para ps3,0,50,0.78,0.36,0.25,9,logitech g29 ps4 ps5 pc driving force volant levier de,7,210.7,0.0,
PlayStation 4,158.19,PlayStation,0,https://www.vinted.it/items/8090271143-playstation-4?referrer=catalog,3,8090271143,On Sale,,,https://images1.vinted.net/t/06_0069c_QPXYXw3o84KEUveRzFViJm9r/310x430/1770118083.webp?s=58d472a84dfd9d2ea143c9bc2519a9c9e2b263d2,1,10,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,0,553,0.6,0.3,0.55,15,playstation,9,158.19,0.0,
Logitech Volant G29 + Levier de vitesse Driving Force Shifter - Compatible PS5 - PS4 et PC,210.7,Logitech,0,https://www.vinted.it/items/8097988067-logitech-volant-g29-levier-de-vitesse-driving-force-shifter-compatible-ps5-ps4-et-pc?referrer=catalog,8,8097988067,On Sale,,,https://images1.vinted.net/t/05_00fe4_X3uBis9uV6LZjcAUQTqBu4gb/310x430/1770209173.webp?s=4289432e7a73ca6e7d9b2ed0a977939eb929144e,1,8,logitech volant g29 levier de vitesse driving force shifter compatible ps5 ps4 et pc,logitech,,False,logitech__codes__g29,logitech volant g29 levier de vitesse driving force shifter compatible ps5 ps4 et pc | logitech | 0,48,volant levier de vitesse driving force shifter compatible et,0,50,0.78,0.36,0.25,9,logitech g29 ps4 ps5 pc driving force volant levier de,7,210.7,0.0,
Logitech Volant G29 + Levier de vitesse Driving Force Shifter - Compatible PS5 - PS4 et PC,210.7,Logitech,0,https://www.vinted.it/items/8098008105-logitech-volant-g29-levier-de-vitesse-driving-force-shifter-compatible-ps5-ps4-et-pc?referrer=catalog,21,8098008105,On Sale,,,https://images1.vinted.net/t/01_016df_hrYyd67zeTWjGrK4G1wvRoDb/310x430/1770209311.webp?s=70f09fb8f4442b7fbdcb13f60f18da92d86622ce,1,8,logitech volant g29 levier de vitesse driving force shifter compatible ps5 ps4 et pc,logitech,,False,logitech__codes__g29,logitech volant g29 levier de vitesse driving force shifter compatible ps5 ps4 et pc | logitech | 0,48,volant levier de vitesse driving force shifter compatible et,0,50,0.78,0.36,0.25,9,logitech g29 ps4 ps5 pc driving force volant levier de,7,210.7,0.0,
Logitech G29 Driving Force Volante para PS5/PS4/PS3/PC,210.7,Logitech,0,https://www.vinted.it/items/8099229806-logitech-g29-driving-force-volante-para-ps5ps4ps3pc?referrer=catalog,0,8099229806,On Sale,,,https://images1.vinted.net/t/06_002fd_yF4Ef3Pbf7NHHCat8m5NAsF2/310x430/1770217288.webp?s=c96d06c13ff9eb8e09da88870bffebad5fe67408,1,8,logitech g29 driving force volante para ps5 ps4 ps3 pc,logitech,,False,logitech__codes__g29,logitech g29 driving force volante para ps5 ps4 ps3 pc | logitech | 0,48,driving force volante para ps3,0,50,0.78,0.36,0.25,9,logitech g29 ps4 ps5 pc driving force volant levier de,7,210.7,0.0,
🇪🇦Final Fantasy VII remake Ps4 Deluxe Edition,100.45,No brand,0,https://www.vinted.it/items/8099037835-final-fantasy-vii-remake-ps4-deluxe-edition?referrer=catalog,1,8099037835,On Sale,,,https://images1.vinted.net/t/05_01b91_6ki4a47e8RiS8ksP23Ak86u8/310x430/1770216068.webp?s=569caba42b0c23287caf00fd1ed4ca66ac0ecfd7,1,7,final fantasy vii remake ps4 deluxe edition,no brand,,False,no brand__toks__final-fantasy,final fantasy vii remake ps4 deluxe edition | no brand | 0,193,vii remake ps4 deluxe,0,217,0.78,0.36,0.25,7,final fantasy edition ps4 remake deluxe vii precintado ix ps1,4,100.45,0.0,
🇪🇦Final Fantasy VII remake Ps4 Deluxe Edition,100.45,No brand,0,https://www.vinted.it/items/8099037835-final-fantasy-vii-remake-ps4-deluxe-edition?referrer=catalog,1,8099037835,On Sale,,,https://images1.vinted.net/t/05_01b91_6ki4a47e8RiS8ksP23Ak86u8/310x430/1770216068.webp?s=569caba42b0c23287caf00fd1ed4ca66ac0ecfd7,1,8,final fantasy vii remake ps4 deluxe edition,no brand,,False,no brand__toks__final-fantasy,final fantasy vii remake ps4 deluxe edition | no brand | 0,193,vii remake ps4 deluxe,0,217,0.78,0.36,0.25,7,final fantasy edition ps4 remake deluxe vii precintado ix ps1,4,100.45,0.0,
PlayStation 4,158.2,PlayStation,0,https://www.vinted.it/items/8104066822-playstation-4?referrer=catalog,0,8104066822,On Sale,,,https://images1.vinted.net/t/06_0100a_CjRbeWQ1N5JcB4om6f9R4E9H/310x430/1770287590.webp?s=4ea3863c5a2e3cc258bbbaaa80be248953f8c730,1,6,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,0,553,0.6,0.3,0.55,15,playstation,9,158.2,-0.0006414087256416678,
PlayStation 4,158.2,PlayStation,0,https://www.vinted.it/items/8093492480-playstation-4?referrer=catalog,1,8093492480,On Sale,,,https://images1.vinted.net/t/05_004a1_xh6MkpSqWVoM4moABTaaEPTw/310x430/1770140796.webp?s=c33336f92ae667c85c3a652e80cdc2992a9a4ecb,1,9,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,0,553,0.6,0.3,0.55,15,playstation,9,158.2,-0.0006414087256416678,
PlayStation 4,89.95,PlayStation,0,https://www.vinted.it/items/8103022202-playstation-4?referrer=catalog,1,8103022202,On Sale,,,https://images1.vinted.net/t/04_01980_nq9duYmXPkUxHkgMy38ZDqpQ/310x430/1770273662.webp?s=c4dcfa7d4876bcb263bdb50820a5d0ed1ac3ff0c,1,6,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,1,554,0.6,0.3,0.55,15,playstation,6,89.95,-0.22483022511005402,
Logitech G29 – Volant + pédales + boîte de vitesse + support,263.19,Logitech,0,https://www.vinted.it/items/8120789339-logitech-g29-volant-pedales-boite-de-vitesse-support?referrer=catalog,2,8120789339,On Sale,,,https://images1.vinted.net/t/05_01084_5W6icCEmdBx7dJ7hDbzsRTgK/310x430/1770474752.webp?s=132ab1aaeb899f23872c3a014ee016156b0003d4,1,2,logitech g29 volant pedales boite de vitesse support,logitech,,False,logitech__codes__g29,logitech g29 volant pedales boite de vitesse support | logitech | 0,49,volant pedales boite de vitesse support,2,55,0.78,0.31,0.45,14,g29 logitech volante volant pedales de vitesse ps4 boite playstation,6,263.19,-0.3371381163597107,
Volante Logitech G29 con pedales y soporte,263.2,Logitech,0,https://www.vinted.it/items/8115530620-volante-logitech-g29-con-pedales-y-soporte?referrer=catalog,0,8115530620,On Sale,,,https://images1.vinted.net/t/06_01b8c_f1CVdLXsEKJysGtztJEfiVQV/310x430/1770405738.webp?s=1631e983fbd6a953d512a467da88db5deba1a0f3,1,3,volante logitech g29 con pedales y soporte,logitech,,False,logitech__codes__g29,volante logitech g29 con pedales y soporte | logitech | 0,49,volante con pedales soporte,2,55,0.78,0.31,0.45,14,g29 logitech volante volant pedales de vitesse ps4 boite playstation,6,263.2,-0.337352454662323,
Playstation 4,168.7,PlayStation,0,https://www.vinted.it/items/8116742077-playstation-4?referrer=catalog,0,8116742077,On Sale,,,https://images1.vinted.net/t/01_0217b_PBGBZZYWPDUBpAq44HYK5AfR/310x430/1770421849.webp?s=9802b9061b51018bd2e01e3120d9b85ef1e85836,1,3,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,0,553,0.6,0.3,0.55,15,playstation,9,168.7,-0.6744906902313232,
FIFA 26 PS4,53.2,No brand,0,https://www.vinted.it/items/8108493648-fifa-26-ps4?referrer=catalog,1,8108493648,On Sale,,,https://images1.vinted.net/t/06_01d4e_YTLmjd9fejB4tc47daJGY4uv/310x430/1770320169.webp?s=a0e5bbfe6213ba3476c928deed194b6987b2aafc,1,5,fifa 26 ps4,no brand,,False,no brand__codes__26,fifa 26 ps4 | no brand | 0,88,ps4,0,102,0.7,0.33,0.35,10,26 fifa ps4 fc playstation jeux ps neuf ea sports,4,53.2,-0.6744906902313232,
PlayStation 4,100.45,PlayStation,0,https://www.vinted.it/items/8106098846-playstation-4?referrer=catalog,13,8106098846,On Sale,,,https://images1.vinted.net/t/05_00a02_M8ZPmecHEM5EUWiYvbUr5j6S/310x430/1770303147.webp?s=3090fa2b72f37296587456bab958a2604b26bd04,1,6,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,1,554,0.6,0.3,0.55,15,playstation,6,100.45,-1.1241511106491089,
Final fantasy 7 remake deluxe edition ps4,105.7,No brand,0,https://www.vinted.it/items/8114002156-final-fantasy-7-remake-deluxe-edition-ps4?referrer=catalog,1,8114002156,On Sale,,,https://images1.vinted.net/t/06_01580_Lrsr3ib4sAqXGEHTC6CSU1v5/310x430/1770394003.webp?s=a9353fe434f33195e1b43f8f527f61443909c987,1,4,final fantasy 7 remake deluxe edition ps4,no brand,,False,no brand__toks__final-fantasy,final fantasy 7 remake deluxe edition ps4 | no brand | 0,193,remake deluxe ps4,0,217,0.78,0.36,0.25,7,final fantasy edition ps4 remake deluxe vii precintado ix ps1,4,105.7,-1.348981261253357,
Juego FIFA 26 Ps4,58.45,No brand,0,https://www.vinted.it/items/8090635066-juego-fifa-26-ps4?referrer=catalog,0,8090635066,On Sale,,,https://images1.vinted.net/t/04_02461_ELQ14Xv5jSB1wRPSsFAXeXxm/310x430/1770120851.webp?s=df559ef1f391ada14e023d19e9e7ddc9bfc1de01,1,9,juego fifa 26 ps4,no brand,,False,no brand__codes__26,juego fifa 26 ps4 | no brand | 0,88,juego ps4,0,102,0.7,0.33,0.35,10,26 fifa ps4 fc playstation jeux ps neuf ea sports,4,58.45,-1.3489813804626465,
PlayStation 4,105.7,PlayStation,0,https://www.vinted.it/items/8107838775-playstation-4?referrer=catalog,12,8107838775,On Sale,,,https://images1.vinted.net/t/05_026ac_f2r1N9h8U4Ph9poPWRApNFbb/310x430/1770315110.webp?s=c0a1a14966fb1b6a78eb851ce8d10b9c69e29a94,1,5,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,1,554,0.6,0.3,0.55,15,playstation,6,105.7,-1.573811650276184,
Volante G29,336.7,Logitech,0,https://www.vinted.it/items/8099897080-volante-g29?referrer=catalog,0,8099897080,On Sale,,,https://images1.vinted.net/t/06_00630_QLDph5UyfEpqUAb3HNxuknKK/310x430/1770221620.webp?s=a0810e323ad4673ffa772a2d667f7c9420f4081d,1,7,volante g29,logitech,,False,logitech__codes__g29,volante g29 | logitech | 0,49,volante,2,55,0.78,0.31,0.45,14,g29 logitech volante volant pedales de vitesse ps4 boite playstation,6,336.7,-1.9111638069152832,
Playstation 4,226.45,PlayStation,0,https://www.vinted.it/items/8101271494-playstation-4-10-games-controller?referrer=catalog,0,8101271494,On Sale,,,https://images1.vinted.net/t/06_00a71_g4wUafK3gHBTyoNo21qjcE2n/310x430/1770309420.webp?s=92ef5f537e508f606ee27cccd74fee460436c976,1,7,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,501,,0,553,0.6,0.3,0.55,15,playstation,9,226.45,-4.380661964416504,
Volante Logitech G29 Driving Force – Nuovo / Mai usato – PS4 / PS5 / PC,252.7,Logitech,0,https://www.vinted.it/items/8105067346-volante-logitech-g29-driving-force-nuovo-mai-usato-ps4-ps5-pc?referrer=catalog,0,8105067346,On Sale,,,https://images1.vinted.net/t/06_00d13_Bqk6cBU71qBoCCoQzqGBWa2C/310x430/1770295309.webp?s=42bd9bc8a4c059a949f457a89ce05254df57b2be,1,6,volante logitech g29 driving force nuovo mai usato ps4 ps5 pc,logitech,,False,logitech__codes__g29,volante logitech g29 driving force nuovo mai usato ps4 ps5 pc | logitech | 0,48,volante driving force nuovo mai usato,0,50,0.78,0.36,0.25,9,logitech g29 ps4 ps5 pc driving force volant levier de,7,252.7,-10.0,
