Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page,Title_norm,Brand_norm,EmbedText,ProductId,VariantId,VariantText,DealScore,DealNotes
FIFA 16,16.45,No brand,0,https://www.vinted.it/items/8274519576-fifa-16?referrer=catalog,0,8274519576,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_00e21_NoAfe1Sc1Xuoa5yWtHWZMJgc/310x430/1772213784.webp?s=bc1626de1078ac2f7b0cfae51850600524fbbf3d,1,2,fifa 16,no brand,fifa 16 | no brand | 0,30,94,fifa 16,,new_variant_created
🇮🇹 Hitman steelbook edition🇮🇹 CD perfetto,26.95,No brand,0,https://www.vinted.it/items/8274452848-hitman-steelbook-edition-cd-perfetto?referrer=catalog,0,8274452848,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_0051a_b6DZxpaie9ACCGvrJfT4Ppgc/310x430/1772213271.webp?s=15da0f3642d1ac058f311d0309064dbd26b12154,1,2,hitman steelbook edition cd perfetto,no brand,hitman steelbook edition cd perfetto | no brand | 0,-1,-1,,,unassigned_product
Juego PS4 El hobbit lego,8.05,No brand,0,https://www.vinted.it/items/8274453051-juego-ps4-el-hobbit-lego?referrer=catalog,2,8274453051,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_0141f_hA7Z6Cd1deDQ6HVsSnHMz4MN/310x430/1772213272.webp?s=9ac7733cb6c48d9b0e610c24e2dab0a13b0d54c0,1,2,juego ps4 el hobbit lego,no brand,juego ps4 el hobbit lego | no brand | 0,64,96,juego ps4 el hobbit lego,,
FIFA 23 PS4,11.2,No brand,0,https://www.vinted.it/items/8274432773-fifa-23-ps4?referrer=catalog,0,8274432773,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_01931_H3TgpTaLA25JSjcaom2jgXj9/310x430/1772213119.webp?s=c423aeca294d930aae5dfed17e41cef131640e75,1,2,fifa 23 ps4,no brand,fifa 23 ps4 | no brand | 0,5,99,fifa 23 ps4,,new_variant_created
Carica batterie per joystick play4,10.15,PlayStation,0,https://www.vinted.it/items/8274421362-carica-batterie-per-joystick-play4?referrer=catalog,0,8274421362,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_01733_AhvzXWf3HCJc9jgbwWG8Z4M9/310x430/1772213032.webp?s=1274c2830c497282ed171d8ef2d0aae9a2a5110d,1,2,carica batterie per joystick play4,playstation,carica batterie per joystick play4 | playstation | 0,-1,-1,,,unassigned_product
Call of Duty black ops 3 ps4,8.05,No brand,0,https://www.vinted.it/items/8274427969-call-of-duty-black-ops-3-ps4?referrer=catalog,0,8274427969,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/04_01b37_2BPNkhWQjjMwBWu4gnjNHEcF/310x430/1772213082.webp?s=c44d9b16cfc31dd67ebbf23226e6343f0c7c0b5e,1,2,call of duty black ops 3 ps4,no brand,call of duty black ops 3 ps4 | no brand | 0,15,100,call of duty black ops ps4,,new_variant_created
Project Cars per 2 ps4 cofanetto acciaio,13.3,No brand,0,https://www.vinted.it/items/8274427694-project-cars-per-2-ps4-cofanetto-acciaio?referrer=catalog,0,8274427694,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_01b47_wGhuhpEMy6pCW2psecCsLyza/310x430/1772213080.webp?s=10362e46f0bb0a1364f0ec5167ba7c63fe10bfb5,1,2,project cars per 2 ps4 cofanetto acciaio,no brand,project cars per 2 ps4 cofanetto acciaio | no brand | 0,-1,-1,,,unassigned_product
FIFA 17,10.15,No brand,0,https://www.vinted.it/items/8274426257-fifa-17?referrer=catalog,0,8274426257,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_000f4_zWpffw1qPS2yKKtbn3vTLi6x/310x430/1772213069.webp?s=6f1c5a6fd61e4800dac238a397161c5e0a4ad4c8,1,2,fifa 17,no brand,fifa 17 | no brand | 0,-1,-1,,,unassigned_product
Fifa 17/18/19/20/21,11.2,No brand,0,https://www.vinted.it/items/8274425268-fifa-1718192021?referrer=catalog,1,8274425268,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_014ee_Jzbq1RFjKTLBkpU9WhHbGAWE/310x430/1772213061.webp?s=1faa5a681c89bccb3795d05d29c6d5656321ca9e,1,2,fifa 17 18 19 20 21,no brand,fifa 17 18 19 20 21 | no brand | 0,30,94,fifa 17 18 19 20 21,,
Jeux Hogwarts Legacy,26.95,No brand,0,https://www.vinted.it/items/8274425771-jeux-hogwarts-legacy?referrer=catalog,0,8274425771,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_01bd4_eB2BzMWXhsDoa8btYvPKhnN3/310x430/1772213065.webp?s=3b283913b96935f7fa54a4499d5cedcf5f815e4a,1,2,jeux hogwarts legacy,no brand,jeux hogwarts legacy | no brand | 0,-1,-1,,,unassigned_product
Jeu PS4 - Uncharted 4: A Thief’s End - 14,0.0,No brand,0,https://www.vinted.it/items/8274416128-jeu-ps4-uncharted-4-a-thiefs-end-1499eu?referrer=catalog,0,8274416128,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_020ad_P1EVsxS16BupibzGWx7JUmfC/310x430/1772212993.webp?s=5871b8c5399f54f8b46cceb5df3cd3326987a692,1,2,jeu ps4 uncharted 4 a thief s end 14,no brand,jeu ps4 uncharted 4 a thief s end 14 | no brand | 0,-1,-1,,,unassigned_product
Jeux moto ps4,10.68,No brand,0,https://www.vinted.it/items/8274412020-jeux-moto-ps4?referrer=catalog,0,8274412020,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_01dbd_TkcXw59nZ5PiSkCi7tZxGk7G/310x430/1772212961.webp?s=8f1deef82d4cfff9cc6081b90c61594df50cf63f,1,2,jeux moto ps4,no brand,jeux moto ps4 | no brand | 0,64,96,jeux moto ps4,-0.6744903326034546,
Call of duty WW2 pro edition cofanetto ps4,13.3,No brand,0,https://www.vinted.it/items/8274401961-call-of-duty-ww2-pro-edition-cofanetto-ps4?referrer=catalog,4,8274401961,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_013b5_2LiXVzG4EoKevp2bji8z88xw/310x430/1772212885.webp?s=753a9aef8f7310512e404cfcb76bf82f3b824fa2,1,2,call of duty ww2 pro edition cofanetto ps4,no brand,call of duty ww2 pro edition cofanetto ps4 | no brand | 0,13,101,call of duty ww2 pro edition cofanetto ps4,,new_variant_created
Jeux Rayman Légends,8.05,No brand,0,https://www.vinted.it/items/8274399000-jeux-rayman-legends?referrer=catalog,1,8274399000,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_00a3f_rWgADjaQsRA4UfXPA7Xj7XQG/310x430/1772212863.webp?s=4f795a6118d430dea13e7a51df2be6647aa69885,1,2,jeux rayman legends,no brand,jeux rayman legends | no brand | 0,-1,-1,,,unassigned_product
WWE 2K22 Gioco per PS4 Playstation 4 Completo WWE,16.45,No brand,0,https://www.vinted.it/items/8274394692-wwe-2k22-gioco-per-ps4-playstation-4-completo-wwe?referrer=catalog,1,8274394692,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_01d26_TT118tnLETA39rdEXwAZqPXr/310x430/1772212831.webp?s=a833f3e0510165047a2c3a9aff2e2bcb54093dc1,1,2,wwe 2k22 gioco per ps4 playstation 4 completo wwe,no brand,wwe 2k22 gioco per ps4 playstation 4 completo wwe | no brand | 0,46,102,wwe 2k22 gioco per ps4 playstation completo wwe,,new_variant_created
The Last of Us Remastered.Prima Stampa - Edizione Italiana,16.45,No brand,0,https://www.vinted.it/items/8274395414-the-last-of-us-remasteredprima-stampa-edizione-italiana?referrer=catalog,0,8274395414,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_01d0a_1Gsj4ft6ki2ZWVipTwxDXLmn/310x430/1772212837.webp?s=6ba938c7d36af99c6c620a36d4e116e9bfc39d4f,1,2,the last of us remastered prima stampa edizione italiana,no brand,the last of us remastered prima stampa edizione italiana | no brand | 0,-1,-1,,,unassigned_product
Metal Slug Anthology (blister FR PS4),35.35,No brand,0,https://www.vinted.it/items/8274394033-metal-slug-anthology-blister-fr-ps4?referrer=catalog,17,8274394033,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_002c9_8gAQXWuuEsQDhkHc8PFpUiYa/310x430/1772212826.webp?s=6aec709cb3556d7ec69998c0624cefaeb5a5119d,1,2,metal slug anthology blister fr ps4,no brand,metal slug anthology blister fr ps4 | no brand | 0,-1,-1,,,unassigned_product
Volante RWA Racing Wheel Apex PS4,74.2,Hori,0,https://www.vinted.it/items/8274393494-volante-rwa-racing-wheel-apex-ps4?referrer=catalog,0,8274393494,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/04_02676_jyB2hsuiiinLP68KoYa5iaYB/310x430/1772212822.webp?s=4be69c444c6150e8a66ba41b7a66de06b1afb0df,1,2,volante rwa racing wheel apex ps4,hori,volante rwa racing wheel apex ps4 | hori | 0,78,103,volante rwa racing wheel apex ps4,,new_variant_created
Pack Juegos PS4,32.2,No brand,0,https://www.vinted.it/items/8274393098-pack-juegos-ps4?referrer=catalog,3,8274393098,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_01f90_GVHhJUH9rVoC6nX3qDb41Hp8/310x430/1772212819.webp?s=dc737fc6b65d4888025c925b933b5f566cdab001,1,2,pack juegos ps4,no brand,pack juegos ps4 | no brand | 0,64,96,pack juegos ps4,-10.0,
Disgaea 7 ps4 sealed,26.95,No brand,0,https://www.vinted.it/items/8274391311-disgaea-7-ps4-sealed?referrer=catalog,3,8274391311,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_00a6a_eEBMr7pkkS6Gmyz849FiQrTk/310x430/1772212805.webp?s=e7f4271cec280d35a589e69ccca89a1e9fe07ad9,1,2,disgaea 7 ps4 sealed,no brand,disgaea 7 ps4 sealed | no brand | 0,-1,-1,,,unassigned_product
Left Alive 💥 Playstation 4 💥 New/Neuf/Nuevo,16.44,No brand,0,https://www.vinted.it/items/8274381119-left-alive-playstation-4-newneufnuevo?referrer=catalog,7,8274381119,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_00e9b_gkVJsuPgDsPL8C6SoU3QdxgW/310x430/1772212728.webp?s=901c46e5e747e9d74039d2c27d49cc6bc3d73d83,1,2,left alive playstation 4 new neuf nuevo,no brand,left alive playstation 4 new neuf nuevo | no brand | 0,-1,-1,,,unassigned_product
Jeu PS4 - Uncharted The Lost Legacy - 14,0.0,No brand,0,https://www.vinted.it/items/8274379005-jeu-ps4-uncharted-the-lost-legacy-1499eu?referrer=catalog,0,8274379005,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_004f9_wuMQfNE5wYbuWrqugiD9GvEz/310x430/1772212713.webp?s=5b3a72ce949ca3507c071b7951fa196657c6fa8e,1,2,jeu ps4 uncharted the lost legacy 14,no brand,jeu ps4 uncharted the lost legacy 14 | no brand | 0,41,104,jeu ps4 uncharted the lost legacy 14,,new_variant_created
Cry machina ps4 sealed,26.95,No brand,0,https://www.vinted.it/items/8274360248-cry-machina-ps4-sealed?referrer=catalog,2,8274360248,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_00ad4_t5yxbLXbb4RaZaRwXEipGR2v/310x430/1772212575.webp?s=eea9bb7f32a191a5169f6a850c137184db0dbe05,1,2,cry machina ps4 sealed,no brand,cry machina ps4 sealed | no brand | 0,-1,-1,,,unassigned_product
Play 4,126.7,Play,0,https://www.vinted.it/items/8274354398-play-4?referrer=catalog,0,8274354398,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_00b78_YevDDCVcHYuUJ9vKo7fckxPk/310x430/1772212532.webp?s=835f3ef92475459c4a6ffca089545a7a41e0832c,1,2,play 4,play,play 4 | play | 0,84,105,play,,new_variant_created
Jeu PS4 Assassin’s Creed Odyssey - 14,0.0,No brand,0,https://www.vinted.it/items/8274351318-jeu-ps4-assassins-creed-odyssey-1499eu?referrer=catalog,0,8274351318,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_009f1_kaWa1TeYo4Gj7JbpsUf7qJLc/310x430/1772212509.webp?s=88b564d37427b189bbf57531c278341e7d69196c,1,2,jeu ps4 assassin s creed odyssey 14,no brand,jeu ps4 assassin s creed odyssey 14 | no brand | 0,8,106,jeu ps4 odyssey 14,,new_variant_created
Lecteur de disque PS5 numérique,79.45,Sony,0,https://www.vinted.it/items/8270223433-lecteur-de-disque-ps5-numerique?referrer=catalog,5,8270223433,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_01d2d_hp5p3Yau8XCkVbQ2KoU48Yqa/310x430/1772190386.webp?s=fc6f211e3f5ca0d7c50e804041a728bc2d04f3ab,1,2,lecteur de disque ps5 numerique,sony,lecteur de disque ps5 numerique | sony | 0,89,107,lecteur de disque ps5 numerique,,new_variant_created
G29 Driving force,263.2,Logitech,0,https://www.vinted.it/items/8274338404-g29-driving-force?referrer=catalog,0,8274338404,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_01cd3_Kb7QN57DdLL84c3qoyqW478F/310x430/1772212412.webp?s=60be232c853a969b3e6835c090bc78a3bdfc26ef,1,2,g29 driving force,logitech,g29 driving force | logitech | 0,-1,-1,,,unassigned_product
Watch Dogs per PlayStation 4,9.1,No brand,0,https://www.vinted.it/items/8274335761-watch-dogs-per-playstation-4?referrer=catalog,0,8274335761,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_002ff_Qm4mWHKXxLuNDzueuz155fng/310x430/1772212393.webp?s=63c011473cf4504a8ea23fbc5c929629d87cb42a,1,2,watch dogs per playstation 4,no brand,watch dogs per playstation 4 | no brand | 0,-1,-1,,,unassigned_product
Spiderman playstation 4,10.15,No brand,0,https://www.vinted.it/items/8274330244-spiderman-playstation-4?referrer=catalog,1,8274330244,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_011a1_kFCGJroLNBq6YDdzTdwSwP8c/310x430/1772212354.webp?s=485294b66dc4bf3bd536be3a5aa11c72d22273d8,1,2,spiderman playstation 4,no brand,spiderman playstation 4 | no brand | 0,72,108,spiderman playstation,,new_variant_created
The Elder Scrolls - PS4,4.9,No brand,0,https://www.vinted.it/items/8274324010-the-elder-scrolls-ps4?referrer=catalog,0,8274324010,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_0154c_GjuaZjQm9sg58s4ZxNv3pSKX/310x430/1772212308.webp?s=44714df5c23c4e3198d08c8af1e94b88bf197c5c,1,2,the elder scrolls ps4,no brand,the elder scrolls ps4 | no brand | 0,-1,-1,,,unassigned_product
The last of us Remastered/play station 4,15.4,No brand,0,https://www.vinted.it/items/8274323694-the-last-of-us-remasteredplay-station-4?referrer=catalog,0,8274323694,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_0150a_kpV1wiKkuQuno8grZuAp1H1V/310x430/1772212306.webp?s=f47879c39180c5ef92c099ecc2ef1b8a8695311a,1,2,the last of us remastered play station 4,no brand,the last of us remastered play station 4 | no brand | 0,-1,-1,,,unassigned_product
Videogiochi Ps3/4 e Nintendo switch,1.75,No brand,0,https://www.vinted.it/items/8274317269-videogiochi-ps34-e-nintendo-switch?referrer=catalog,0,8274317269,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_01fde_6AJwitP1iXPZ2jrioya9FVPZ/310x430/1772212258.webp?s=6f3b56df7247eb263df4b97f9fd435146ed3424f,1,2,videogiochi ps3 4 e nintendo switch,no brand,videogiochi ps3 4 e nintendo switch | no brand | 0,46,102,videogiochi ps3 nintendo switch,,very_low_vs_variant_median
Gaming Controller für PS4,21.7,No brand,0,https://www.vinted.it/items/8274313258-gaming-controller-fur-ps4?referrer=catalog,0,8274313258,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_0045d_DXfNfZ99a2kCMPytWRG7boT8/310x430/1772212228.webp?s=413a572b07922de20db8cec62ed03d8b5ddff644,1,2,gaming controller fur ps4,no brand,gaming controller fur ps4 | no brand | 0,64,96,gaming controller fur ps4,-2.826192617416382,
Gioco ps4 Dragonball Xenoverse 2,7.0,No brand,0,https://www.vinted.it/items/8274304841-gioco-ps4-dragonball-xenoverse-2?referrer=catalog,0,8274304841,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_006d6_2bQ6FPgfz7r6fqsuboYUubgj/310x430/1772212165.webp?s=1e8a53bbbfb0bdfec9bcb7e1c36d38369c60b3ca,1,2,gioco ps4 dragonball xenoverse 2,no brand,gioco ps4 dragonball xenoverse 2 | no brand | 0,64,96,gioco ps4 dragonball xenoverse,0.8091322779655457,
Jeu fifa 23 ps5 mais compatible sur ps4,2.8,No brand,0,https://www.vinted.it/items/8274300947-jeu-fifa-23-ps5-mais-compatible-sur-ps4?referrer=catalog,0,8274300947,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_01b40_R3sjJfgN8pL7nBbGoWS57fm1/310x430/1772212136.webp?s=fe1e83214d25eec1887bedc80403bb16fb42066e,1,2,jeu fifa 23 ps5 mais compatible sur ps4,no brand,jeu fifa 23 ps5 mais compatible sur ps4 | no brand | 0,5,99,jeu fifa 23 ps5 mais compatible sur ps4,,very_low_vs_variant_median
Lot 4 premiers tomes Birdmen - Manga,11.2,No brand,0,https://www.vinted.it/items/8274287209-lot-4-premiers-tomes-birdmen-manga?referrer=catalog,0,8274287209,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_002fa_13Ka7dMe4j3ySKVNSMabvooe/310x430/1772212036.webp?s=c799ab30fdc0e353cb032c9b16179032be70a21e,1,2,lot 4 premiers tomes birdmen manga,no brand,lot 4 premiers tomes birdmen manga | no brand | 0,-1,-1,,,unassigned_product
Final fantasy x remastered ps4 sealed,21.7,No brand,0,https://www.vinted.it/items/8274295540-final-fantasy-x-remastered-ps4-sealed?referrer=catalog,5,8274295540,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_01d10_EXz7KoXXxZFgyYeyg2oWGhJs/310x430/1772212096.webp?s=2c5dedd9d36f3f50ae3330bea2ca554a78d27892,1,2,final fantasy x remastered ps4 sealed,no brand,final fantasy x remastered ps4 sealed | no brand | 0,27,109,final fantasy remastered ps4 sealed,,new_variant_created
Taimumari 💥 Playstation 4 💥 New/Neuf/Nuevo,26.94,No brand,0,https://www.vinted.it/items/8274285946-taimumari-playstation-4-newneufnuevo?referrer=catalog,9,8274285946,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_002ef_N35qbbiVhECBF49oH7TPUyW8/310x430/1772212026.webp?s=2ccf55854e77e754040e35e75820cad05ef75e50,1,2,taimumari playstation 4 new neuf nuevo,no brand,taimumari playstation 4 new neuf nuevo | no brand | 0,-1,-1,,,unassigned_product
A.O.T. 2 PS4 Precintado 100% Original,105.7,No brand,0,https://www.vinted.it/items/8274277784-aot-2-ps4-precintado-100-original?referrer=catalog,0,8274277784,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_026ed_5aUL1LHXdUFN7nFPoYQcY5BW/310x430/1772211966.webp?s=7c8fbdcfcef70ecfe23faa8e1e49a0a0f3692266,1,2,a o t 2 ps4 precintado 100 original,no brand,a o t 2 ps4 precintado 100 original | no brand | 0,6,110,ps4 precintado 100 original,,new_variant_created
Wrestling 2K24 per PlayStation 4,16.45,No brand,0,https://www.vinted.it/items/8274276404-wrestling-2k24-per-playstation-4?referrer=catalog,1,8274276404,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_00e3e_avUH95SiPitRQfh6NUcY5bbb/310x430/1772211956.webp?s=ab04adebfd42ec3f9ce782b46df3c47d0179a810,1,2,wrestling 2k24 per playstation 4,no brand,wrestling 2k24 per playstation 4 | no brand | 0,-1,-1,,,unassigned_product
Killzone: Shadow Fall PS4 - Versione Italiana - Come Nuovo,11.2,No brand,0,https://www.vinted.it/items/8274256965-killzone-shadow-fall-ps4-versione-italiana-come-nuovo?referrer=catalog,0,8274256965,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_02482_copy5RWAVMn1ZRNshXLiUKh6/310x430/1772211813.webp?s=e63acf5d8c63696ea0b4fb57cd87c1a2d1bc860e,1,2,killzone shadow fall ps4 versione italiana come nuovo,no brand,killzone shadow fall ps4 versione italiana come nuovo | no brand | 0,-1,-1,,,unassigned_product
Giochi ps4/ps5,47.95,No brand,0,https://www.vinted.it/items/8274255934-giochi-ps4ps5?referrer=catalog,0,8274255934,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_00d4a_ovRfv9kYQAXjF1tYkzPdEuwM/310x430/1772211806.webp?s=2cd0c9d6e01fbdb3e688edbbe2f99065964a7b2a,1,2,giochi ps4 ps5,no brand,giochi ps4 ps5 | no brand | 0,64,96,giochi ps4 ps5,-6.831050395965576,
mega lopunny ex,2.8,Pokémon,0,https://www.vinted.it/items/8274207470-mega-lopunny-ex?referrer=catalog,0,8274207470,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_00a03_C8WmuBYHymtcUrw6RiMHqvyB/310x430/1772211454.webp?s=4ead84504b0eaa05892f917eb34794805fd76b0d,1,2,mega lopunny ex,pokemon,mega lopunny ex | pokemon | 0,-1,-1,,,unassigned_product
Jeux ps4 de guerre,16.45,No brand,0,https://www.vinted.it/items/8274205739-jeux-ps4-de-guerre?referrer=catalog,0,8274205739,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_000a0_RxB1yoRhxPD5CqbUY2k3fNE5/310x430/1772211442.webp?s=6d165a2d3a35551a95f7ae5f087ea0119a021f40,1,2,jeux ps4 de guerre,no brand,jeux ps4 de guerre | no brand | 0,64,96,jeux ps4 de guerre,-0.32216981053352356,
Mega Man Legacy Collection,35.35,No brand,0,https://www.vinted.it/items/8274202449-mega-man-legacy-collection?referrer=catalog,5,8274202449,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_0151b_yAdEUj8eJ8h3z2XhzBLkhQ9Z/310x430/1772211417.webp?s=ea555e4578e6394a716e934a31a9853d44acc5d3,1,2,mega man legacy collection,no brand,mega man legacy collection | no brand | 0,-1,-1,,,unassigned_product
